author,stars,comment
"r*****a",5,"Skin Suitability:perfect Effectiveness:very  Kitonyo jenis tak kedekut pakai moisturizer lps solat kne topup balik sbb keje fully aircond mmg kulit cepattt kering tau. 5x ceramide ni mmg sngt sesuai dgn kulit sensitive  plus dry combination. Beli 100g tahan lama sikit. Cepat sampai tq skintific!"
"w*****w",5,"Effectiveness:good Skin Suitability:combination to dry skin  I have been using this moisturizer for 1 year already. The product is good for my dry skin but I still need to use toner before applying the moisturiser. Overall this moisturizer is good."
"j*****4",5,"Skin Suitability:dry skin Absorption:cepat absorb!  been using this for 4 months turns out i like it so much ! moisturizer sangat ringan & cepat meresap! definitely worth the price"
"m*****a",5,"Skin Suitability:Suit my skin. Absorption:well absorbed without living any sticky feeling.  This is my third buying. This time I get the 50gm. Love this skin moisture gel. Will certainly buy again. Tq seller. ♥️"
"f*****7",5,"Skin Suitability:Nice Effectiveness:Good  Moisturiser yang ringan dan melempbapkn kulit. Penghantaran dan packaging juga baik. Terima kasih"
"h*****0",5,"Absorption:fast absorption Skin Suitability:any skin also can apply it  Already repeat order many times, very moisture and useful. Received in good condition and fast delivery also"
"jannatulfirdausrahim",5,"Texture:good Skin Type:combination skin  Received in good condition.. suitable for my skin..my skin look like a sunshine 🌞"
"cherrystore",5,"Fast delivery and well-packed with bubble wrap. The item is of good quality，satisfied with the purchase"
"r*****n",5,"moist ni best bekas yg ke 3 sedap pakai dia rasa macam cool tak naik2 apa pun dekat muka sesuai dengan kulit 😊"
"s*****a",5,"tq seller  penghantaran pantas. tq seller, penghantaran pantas. beli 11/11, mmg padu murr2 harganya"
"v*****1",5,"Very good quality and fast shipping. The item corresponds with description. Perfect sized. Thank you, I am satisfied. I highly recommend this seller, very professional, products are quality."
"gyee_98",5,"Received in good condition, but free gift do not same as the picture. There only free toner and sunscreen do not have 2g of moisture"
"y*****7",5,"Well received in good condition and function good nice moisturizer fast delivery"
"n*****r",5,"Skin Type:good Absorption:good  Item arrived safely, well packaged."
"h*****a",5,"Texture:light weight Skin Type:sensitive skin/combo to oily acne prone skin Absorption:It absorbs quickly  moisturiser skintific ni memang sesuai untuk kulit saya tengah breakout ni tapi sekarang dah semakin pulih disebabkan moisturiser ni lurvee sangatt"
"williamngu7921",5,"I like the smell. I'll wait to see the effect"
